Rank,CCA3,Country,Capital,Continent,Area,Density,GrowthRate,WorldPopPercent,1970pop,1980pop,1990pop,2000pop,2010pop,2015pop,2020pop,2022pop
195,JEY,Jersey,Saint Helier,Europe,116,954.9828,1.0106,0,68347,75124,82874,86192,96151,100561,108319,110778
83,JOR,Jordan,Amman,Asia,89342,126.3221,1.0123,0.14,1557374,2216903,3480587,5056174,6931258,9494246,10928721,11285869
66,KAZ,Kazakhstan,Nursultan,Asia,2724900,7.1188,1.0105,0.24,12265305,14172710,16866563,15236253,16627837,17835909,18979243,19397998
27,KEN,Kenya,Nairobi,Africa,580367,93.0919,1.0193,0.68,11473087,16187124,23162269,30851606,41517895,46851488,51985780,54027487
192,KIR,Kiribati,Tarawa,Oceania,811,161.815,1.0183,0,57437,60813,75124,88826,107995,116707,126463,131232
129,KWT,Kuwait,Kuwait City,Asia,17818,239.5821,1.0044,0.05,802786,1493870,1674938,1934901,2943356,3908743,4360444,4268873
110,KGZ,Kyrgyzstan,Bishkek,Asia,199951,33.1612,1.0158,0.08,3016384,3691209,4394734,4935182,5483774,5914980,6424874,6630623
103,LAO,Laos,Vientiane,Asia,236800,31.7968,1.0141,0.09,2675283,3297519,4314443,5430853,6323418,6787419,7319399,7529475
151,LVA,Latvia,Riga,Europe,64559,28.666,0.9876,0.02,2397414,2572037,2689391,2392530,2101530,1991955,1897052,1850651
119,LBN,Lebanon,Beirut,Asia,10452,525.2334,0.9816,0.07,2381791,2963702,3593700,4320642,4995800,6398940,5662923,5489739
147,LSO,Lesotho,Maseru,Africa,30355,75.962,1.0107,0.03,1023481,1407672,1798997,1998630,2022747,2118521,2254100,2305825
121,LBR,Liberia,Monrovia,Africa,111369,47.6136,1.021,0.07,1463563,1932169,2209731,2895224,4019956,4612329,5087584,5302681
107,LBY,Libya,Tripoli,Africa,1759540,3.8717,1.0114,0.09,1909177,2962720,4236983,5154790,6491988,6192235,6653942,6812341
216,LIE,Liechtenstein,Vaduz,Europe,160,245.7937,1.0074,0,21089,25003,28765,33026,35926,37355,38756,39327
141,LTU,Lithuania,Vilnius,Europe,65300,42.1142,0.9869,0.03,3210147,3521206,3785847,3599637,3139019,2963765,2820267,2750055
