Rank,CCA3,Country,Capital,Continent,Area,Density,GrowthRate,WorldPopPercent,1970pop,1980pop,1990pop,2000pop,2010pop,2015pop,2020pop,2022pop
96,BLR,Belarus,Minsk,Europe,207600,45.9295,0.9955,0.12,9170786,9817257,10428525,10256483,9731427,9700609,9633740,9534954
81,BEL,Belgium,Brussels,Europe,30528,381.8111,1.0038,0.15,9629376,9828986,9959560,10264343,10877947,11248303,11561717,11655930
177,BLZ,Belize,Belmopan,North America,22966,17.6466,1.0131,0.01,120905,145133,182589,240406,322106,359871,394921,405272
77,BEN,Benin,Porto-Novo,Africa,112622,118.5635,1.0274,0.17,3023443,3833939,5133419,6998023,9445710,10932783,12643123,13352864
206,BMU,Bermuda,Hamilton,North America,54,1188.5926,1,0,52019,53565,57470,61371,63447,63144,64031,64184
165,BTN,Bhutan,Thimphu,Asia,38394,20.3796,1.0064,0.01,298894,415257,558442,587207,705516,743274,772506,782455
80,BOL,Bolivia,Sucre,South America,1098581,11.1272,1.012,0.15,4585693,5736088,7096194,8592656,10223270,11090085,11936162,12224110
137,BIH,Bosnia and Herzegovina,Sarajevo,Europe,51209,63.1437,0.9886,0.04,3815561,4199820,4494310,4179350,3811088,3524324,3318407,3233526
144,BWA,Botswana,Gaborone,Africa,582000,4.5194,1.0162,0.03,592244,938578,1341474,1726985,2091664,2305171,2546402,2630296
7,BRA,Brazil,Brasilia,South America,8515767,25.2841,1.0046,2.7,96369875,122288383,150706446,175873720,196353492,205188205,213196304,215313498
221,VGB,British Virgin Islands,Road Town,North America,151,207.3179,1.0059,0,9581,11109,15617,20104,27556,29366,30910,31305
175,BRN,Brunei,Bandar Seri Begawan,Asia,5765,77.8841,1.0081,0.01,133343,187921,261928,333926,396053,421437,441725,449002
108,BGR,Bulgaria,Sofia,Europe,110879,61.1654,0.9849,0.09,8582950,8980606,8767778,8097691,7592273,7309253,6979175,6781953
58,BFA,Burkina Faso,Ouagadougou,Africa,272967,83.0641,1.0259,0.28,5611666,6932967,9131361,11882888,16116845,18718019,21522626,22673762
78,BDI,Burundi,Bujumbura,Africa,27834,463.0874,1.027,0.16,3497834,4312834,5483793,6307659,9126605,10727148,12220227,12889576
73,KHM,Cambodia,Phnom Penh,Asia,181035,92.6221,1.0108,0.21,6708525,6198959,8910808,12118841,14363532,15417523,16396860,16767842
53,CMR,Cameroon,Yaounde,Africa,475442,58.7128,1.0263,0.35,6452787,8519891,11430520,15091594,19878036,23012646,26491087,27914536
39,CAN,Canada,Ottawa,North America,9984670,3.8513,1.0078,0.48,21434577,24511510,27657204,30683313,33963412,35732126,37888705,38454327
171,CPV,Cape Verde,Praia,Africa,4033,147.0739,1.0089,0.01,287262,317234,364563,458251,521212,552166,582640,593149
205,CYM,Cayman Islands,George Town,North America,264,260.25,1.0084,0,10533,17100,26027,39658,54074,60911,67311,68706
117,CAF,Central African Republic,Bangui,Africa,622984,8.9555,1.0224,0.07,2067356,2415276,2809221,3759170,4660067,4819333,5343020,5579144
69,TCD,Chad,N'Djamena,Africa,1284000,13.8032,1.0316,0.22,3667394,4408230,5827069,8259137,11894727,14140274,16644701,17723315
65,CHL,Chile,Santiago,South America,756102,25.9274,1.0057,0.25,9820481,11469828,13342868,15351799,17004162,17870124,19300315,19603733
1,CHN,China,Beijing,Asia,9706961,146.8933,1,17.88,822534450,982372466,1153704252,1264099069,1348191368,1393715448,1424929781,1425887337
28,COL,Colombia,Bogota,South America,1141748,45.4339,1.0069,0.65,20905254,26176195,32601393,39215135,44816108,47119728,50930662,51874024
163,COM,Comoros,Moroni,Africa,1862,449.3953,1.0184,0.01,242351,328328,431119,536758,656024,730216,806166,836774
223,COK,Cook Islands,Avarua,Oceania,236,72.0805,1.0005,0,20470,17651,17123,15897,17212,17695,17029,17011
124,CRI,Costa Rica,San José,North America,51100,101.3861,1.0052,0.06,1855697,2414303,3158253,3979193,4622252,4895242,5123105,5180829
130,HRV,Croatia,Zagreb,Europe,56594,71.2153,0.9927,0.05,4492638,4680144,4873707,4548434,4368682,4254815,4096868,4030358
85,CUB,Cuba,Havana,North America,109884,102.0366,0.9961,0.14,8869636,9809107,10626680,11105791,11290417,11339894,11300698,11212191
189,CUW,Curacao,Willemstad,North America,444,430.5473,1.0043,0,150385,156851,155446,141424,159380,169572,189288,191163
158,CYP,Cyprus,Nicosia,Europe,9251,135.2814,1.0059,0.02,640804,679327,788500,948237,1129686,1187280,1237537,1251488
88,CZE,Czech Republic,Prague,Europe,78865,133.0627,0.9984,0.13,9795744,10270060,10301192,10234710,10464749,10523798,10530953,10493986
115,DNK,Denmark,Copenhagen,Europe,43094,136.4984,1.0048,0.07,4922963,5125392,5144623,5340655,5550849,5677796,5825641,5882261
160,DJI,Djibouti,Djibouti,Africa,23200,48.3125,1.0138,0.01,144379,324121,577173,742033,919199,1006259,1090156,1120849
204,DMA,Dominica,Roseau,North America,751,96.8535,1.0045,0,68895,72978,69481,68346,68755,70007,71995,72737
84,DOM,Dominican Republic,Santo Domingo,North America,48671,230.7087,1.01,0.14,4475871,5755800,7129004,8540791,9775755,10405832,10999664,11228821
15,COD,DR Congo,Kinshasa,Africa,2344858,42.2244,1.0325,1.24,20151733,26708686,35987541,48616317,66391257,78656904,92853164,99010212
67,ECU,Ecuador,Quito,South America,276841,65.0229,1.0114,0.23,6172215,8135845,10449837,12626507,14989585,16195902,17588595,18001000
